2024-01-03 18:10:35,531 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 81 ms. Found 7 JPA repository interfaces.
2024-01-03 18:10:35,616 [main] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
2024-01-03 18:10:35,931 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Starting embedded database: url='jdbc:h2:mem:6613becf-2207-4e0f-87c8-f92b4de494b3;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
2024-01-03 18:10:36,283 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-01-03 18:10:36,402 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2024-01-03 18:10:36,452 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-01-03 18:10:36,568 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-01-03 18:10:37,278 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-01-03 18:10:37,341 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-01-03 18:10:38,263 [main] INFO  c.R.R.r.UserAccountsRepositoryTests - Started UserAccountsRepositoryTests in 4.145 seconds (process running for 6.318)
2024-01-03 18:10:38,667 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-01-03 18:12:21,418 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.Revature.RevPay.repositories.UserAccountsRepositoryTests]: UserAccountsRepositoryTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-01-03 18:12:21,565 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.Revature.RevPay.RevPayApplication for test class com.Revature.RevPay.repositories.UserAccountsRepositoryTests
2024-01-03 18:12:21,885 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-01-03 18:12:21,923 [main] INFO  c.R.R.r.UserAccountsRepositoryTests - Starting UserAccountsRepositoryTests using Java 17.0.9 with PID 31832 (started by MyUser in C:\Users\pvssp\Documents\Arvin\Project\RevPay_AShertukde\RevPay)
2024-01-03 18:12:21,924 [main] INFO  c.R.R.r.UserAccountsRepositoryTests - No active profile set, falling back to 1 default profile: "default"
2024-01-03 18:12:22,391 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-01-03 18:12:22,496 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 95 ms. Found 7 JPA repository interfaces.
2024-01-03 18:12:22,590 [main] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
2024-01-03 18:12:22,843 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Starting embedded database: url='jdbc:h2:mem:460563ee-f11d-4d9d-a776-9c28c2ea3ac4;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
2024-01-03 18:12:23,100 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-01-03 18:12:23,181 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2024-01-03 18:12:23,213 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-01-03 18:12:23,513 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-01-03 18:12:24,408 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-01-03 18:12:24,470 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-01-03 18:12:25,388 [main] INFO  c.R.R.r.UserAccountsRepositoryTests - Started UserAccountsRepositoryTests in 3.736 seconds (process running for 4.766)
2024-01-03 18:12:25,969 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-01-03 18:14:19,685 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-01-03 18:14:19,688 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-01-03 18:14:20,267 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-01-03 18:14:46,950 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-01-03 18:14:46,987 [main] INFO  c.Revature.RevPay.RevPayApplication - Starting RevPayApplication using Java 17.0.9 with PID 58788 (C:\Users\pvssp\Documents\Arvin\Project\RevPay_AShertukde\RevPay\target\classes started by MyUser in C:\Users\pvssp\Documents\Arvin\Project\RevPay_AShertukde\RevPay)
